country,iso3_code,region,income_group,year,quarter,quarter_label,industry_sector,sector_automation_risk_score,gdp_per_capita_usd,ai_adoption_index,pct_sector_workforce_displaced,pct_sector_workforce_new_roles_created,net_workforce_change_pct,ai_cited_layoff_announcements,ai_skill_wage_premium_pct,pct_workforce_female,pct_displaced_roles_female,reskilling_programs_count,govt_ai_policy_score_1_to_10,ai_tool_adoption_pct
United States,USA,North America,High Income,2020,2,2020-Q2,Manufacturing & Industry,0.756,63263,0.848,0.0712,0.053,-0.0182,35,0.262,0.29,0.317,49,6.8,0.64
United States,USA,North America,High Income,2020,2,2020-Q2,Retail & E-Commerce,0.75,63263,0.825,0.0746,0.0463,-0.0283,47,0.367,0.54,0.54,49,6.0,0.603
United States,USA,North America,High Income,2020,2,2020-Q2,Education & Research,0.278,63263,0.814,0.022,0.0138,-0.0082,5,0.317,0.58,0.583,46,6.5,0.231
United States,USA,North America,High Income,2020,2,2020-Q2,Transportation & Logistics,0.715,63263,0.83,0.0825,0.0459,-0.0366,33,0.372,0.22,0.22,48,7.1,0.58
United States,USA,North America,High Income,2020,2,2020-Q2,Media & Communications,0.557,63263,0.806,0.0624,0.0381,-0.0243,20,0.31,0.46,0.477,43,5.9,0.474
United States,USA,North America,High Income,2020,2,2020-Q2,Administrative & Clerical,0.797,63263,0.832,0.0932,0.0632,-0.03,122,0.307,0.79,0.95,40,6.1,0.599
United States,USA,North America,High Income,2020,2,2020-Q2,Energy & Utilities,0.405,63263,0.827,0.0428,0.0391,-0.0037,17,0.375,0.26,0.295,36,7.0,0.436
United States,USA,North America,High Income,2020,3,2020-Q3,Technology & Software,0.415,63184,0.841,0.0459,0.0324,-0.0135,24,0.34,0.28,0.317,42,6.4,0.314
United States,USA,North America,High Income,2020,3,2020-Q3,Finance & Banking,0.605,63184,0.807,0.078,0.0605,-0.0175,76,0.337,0.48,0.488,38,7.0,0.501
United States,USA,North America,High Income,2020,3,2020-Q3,Healthcare & Life Sciences,0.226,63184,0.834,0.0241,0.0181,-0.006,9,0.298,0.72,0.812,38,6.7,0.19
United States,USA,North America,High Income,2020,3,2020-Q3,Manufacturing & Industry,0.753,63184,0.83,0.0749,0.0693,-0.0056,48,0.288,0.29,0.31,46,6.0,0.62
United States,USA,North America,High Income,2020,3,2020-Q3,Retail & E-Commerce,0.721,63184,0.841,0.0901,0.057,-0.0331,49,0.302,0.54,0.549,48,6.2,0.481
United States,USA,North America,High Income,2020,3,2020-Q3,Education & Research,0.242,63184,0.792,0.0319,0.0178,-0.0141,5,0.326,0.58,0.651,40,7.1,0.203
United States,USA,North America,High Income,2020,3,2020-Q3,Transportation & Logistics,0.665,63184,0.846,0.084,0.0672,-0.0168,68,0.359,0.22,0.213,47,6.6,0.613
United States,USA,North America,High Income,2020,3,2020-Q3,Media & Communications,0.537,63184,0.84,0.0517,0.0296,-0.0221,38,0.304,0.46,0.491,40,6.4,0.487
United States,USA,North America,High Income,2020,3,2020-Q3,Administrative & Clerical,0.791,63184,0.833,0.1193,0.1081,-0.0112,73,0.343,0.79,0.95,43,7.2,0.694
United States,USA,North America,High Income,2020,3,2020-Q3,Energy & Utilities,0.436,63184,0.832,0.0476,0.0342,-0.0134,12,0.357,0.26,0.29,37,6.9,0.425
United States,USA,North America,High Income,2020,4,2020-Q4,Technology & Software,0.395,61652,0.844,0.0506,0.047,-0.0036,52,0.324,0.28,0.313,51,6.6,0.27
United States,USA,North America,High Income,2020,4,2020-Q4,Finance & Banking,0.605,61652,0.845,0.0691,0.0556,-0.0135,55,0.25,0.48,0.533,52,7.2,0.594
United States,USA,North America,High Income,2020,4,2020-Q4,Healthcare & Life Sciences,0.255,61652,0.86,0.0237,0.0224,-0.0013,10,0.323,0.72,0.794,51,6.4,0.16
United States,USA,North America,High Income,2020,4,2020-Q4,Manufacturing & Industry,0.744,61652,0.857,0.0854,0.0762,-0.0092,68,0.272,0.29,0.319,41,6.5,0.556
United States,USA,North America,High Income,2020,4,2020-Q4,Retail & E-Commerce,0.679,61652,0.829,0.1022,0.0665,-0.0357,65,0.36,0.54,0.611,43,5.6,0.484
United States,USA,North America,High Income,2020,4,2020-Q4,Education & Research,0.295,61652,0.848,0.0356,0.0229,-0.0127,5,0.309,0.58,0.631,43,6.3,0.23
United States,USA,North America,High Income,2020,4,2020-Q4,Transportation & Logistics,0.648,61652,0.829,0.0723,0.061,-0.0113,32,0.333,0.22,0.232,52,6.4,0.602
United States,USA,North America,High Income,2020,4,2020-Q4,Media & Communications,0.566,61652,0.837,0.0684,0.0461,-0.0223,34,0.318,0.46,0.5,51,6.4,0.443
United States,USA,North America,High Income,2020,4,2020-Q4,Administrative & Clerical,0.779,61652,0.832,0.0919,0.0656,-0.0263,164,0.322,0.79,0.95,48,6.2,0.67
United States,USA,North America,High Income,2020,4,2020-Q4,Energy & Utilities,0.472,61652,0.85,0.0487,0.0383,-0.0104,25,0.313,0.26,0.27,44,6.6,0.444
United States,USA,North America,High Income,2021,1,2021-Q1,Technology & Software,0.367,63296,0.849,0.0583,0.0472,-0.0111,41,0.355,0.28,0.306,56,6.5,0.284
United States,USA,North America,High Income,2021,1,2021-Q1,Finance & Banking,0.639,63296,0.856,0.0757,0.0687,-0.007,56,0.349,0.48,0.514,48,6.9,0.521
United States,USA,North America,High Income,2021,1,2021-Q1,Healthcare & Life Sciences,0.265,63296,0.847,0.0211,0.0182,-0.0029,11,0.388,0.72,0.747,42,7.1,0.188
United States,USA,North America,High Income,2021,1,2021-Q1,Manufacturing & Industry,0.712,63296,0.855,0.1148,0.0839,-0.0309,96,0.353,0.29,0.328,53,5.9,0.732
United States,USA,North America,High Income,2021,1,2021-Q1,Retail & E-Commerce,0.692,63296,0.832,0.091,0.0818,-0.0092,68,0.309,0.54,0.589,58,6.4,0.516
United States,USA,North America,High Income,2021,1,2021-Q1,Education & Research,0.287,63296,0.833,0.0313,0.0253,-0.006,7,0.301,0.58,0.588,41,6.6,0.229
United States,USA,North America,High Income,2021,1,2021-Q1,Transportation & Logistics,0.687,63296,0.852,0.0934,0.0787,-0.0147,40,0.362,0.22,0.233,48,6.4,0.561
United States,USA,North America,High Income,2021,1,2021-Q1,Media & Communications,0.577,63296,0.86,0.0747,0.068,-0.0067,56,0.325,0.46,0.445,47,6.3,0.54
United States,USA,North America,High Income,2021,1,2021-Q1,Administrative & Clerical,0.792,63296,0.859,0.1288,0.0993,-0.0295,150,0.338,0.79,0.95,44,6.6,0.634
United States,USA,North America,High Income,2021,1,2021-Q1,Energy & Utilities,0.466,63296,0.841,0.0452,0.0332,-0.012,17,0.315,0.26,0.252,52,6.3,0.307
United States,USA,North America,High Income,2021,2,2021-Q2,Technology & Software,0.403,63587,0.861,0.0505,0.0351,-0.0154,40,0.372,0.28,0.306,46,6.2,0.371
United States,USA,North America,High Income,2021,2,2021-Q2,Finance & Banking,0.582,63587,0.853,0.0645,0.0495,-0.015,131,0.358,0.48,0.516,47,6.8,0.573
United States,USA,North America,High Income,2021,2,2021-Q2,Healthcare & Life Sciences,0.25,63587,0.86,0.0226,0.0134,-0.0092,7,0.341,0.72,0.764,53,6.8,0.209
United States,USA,North America,High Income,2021,2,2021-Q2,Manufacturing & Industry,0.743,63587,0.861,0.1169,0.0674,-0.0495,107,0.383,0.29,0.285,59,7.0,0.682
United States,USA,North America,High Income,2021,2,2021-Q2,Retail & E-Commerce,0.651,63587,0.864,0.1073,0.06,-0.0473,86,0.34,0.54,0.531,52,6.8,0.62
United States,USA,North America,High Income,2021,2,2021-Q2,Education & Research,0.303,63587,0.878,0.0381,0.026,-0.0121,10,0.411,0.58,0.61,47,6.3,0.268
United States,USA,North America,High Income,2021,2,2021-Q2,Transportation & Logistics,0.677,63587,0.877,0.0986,0.0885,-0.0101,81,0.398,0.22,0.24,49,7.0,0.67
United States,USA,North America,High Income,2021,2,2021-Q2,Media & Communications,0.571,63587,0.839,0.0691,0.059,-0.0101,40,0.334,0.46,0.509,57,7.4,0.414
United States,USA,North America,High Income,2021,2,2021-Q2,Administrative & Clerical,0.773,63587,0.837,0.1139,0.0613,-0.0526,190,0.35,0.79,0.95,43,6.8,0.762
United States,USA,North America,High Income,2021,2,2021-Q2,Energy & Utilities,0.419,63587,0.85,0.0444,0.0423,-0.0021,18,0.322,0.26,0.273,54,6.7,0.405
United States,USA,North America,High Income,2021,3,2021-Q3,Technology & Software,0.376,63878,0.86,0.0572,0.0478,-0.0094,48,0.334,0.28,0.293,52,6.3,0.359
United States,USA,North America,High Income,2021,3,2021-Q3,Finance & Banking,0.602,63878,0.849,0.0755,0.0482,-0.0273,70,0.385,0.48,0.473,44,6.0,0.453
United States,USA,North America,High Income,2021,3,2021-Q3,Healthcare & Life Sciences,0.233,63878,0.861,0.0319,0.0308,-0.0011,11,0.381,0.72,0.708,46,6.8,0.165
United States,USA,North America,High Income,2021,3,2021-Q3,Manufacturing & Industry,0.723,63878,0.873,0.1026,0.0988,-0.0038,99,0.354,0.29,0.286,54,7.0,0.742
United States,USA,North America,High Income,2021,3,2021-Q3,Retail & E-Commerce,0.672,63878,0.846,0.0988,0.0601,-0.0387,51,0.328,0.54,0.565,59,6.9,0.484
United States,USA,North America,High Income,2021,3,2021-Q3,Education & Research,0.243,63878,0.856,0.03,0.0233,-0.0067,9,0.339,0.58,0.572,60,6.7,0.258
United States,USA,North America,High Income,2021,3,2021-Q3,Transportation & Logistics,0.661,63878,0.861,0.0941,0.0681,-0.026,96,0.383,0.22,0.224,60,6.3,0.642
United States,USA,North America,High Income,2021,3,2021-Q3,Media & Communications,0.55,63878,0.866,0.0677,0.0557,-0.012,40,0.342,0.46,0.45,43,7.1,0.494
United States,USA,North America,High Income,2021,3,2021-Q3,Administrative & Clerical,0.763,63878,0.856,0.1387,0.1167,-0.022,159,0.367,0.79,0.95,54,6.8,0.72
United States,USA,North America,High Income,2021,3,2021-Q3,Energy & Utilities,0.465,63878,0.87,0.0602,0.0491,-0.0111,40,0.337,0.26,0.254,56,6.9,0.43
United States,USA,North America,High Income,2021,4,2021-Q4,Technology & Software,0.383,65061,0.862,0.0724,0.0608,-0.0116,84,0.363,0.28,0.294,50,6.8,0.319
United States,USA,North America,High Income,2021,4,2021-Q4,Finance & Banking,0.61,65061,0.86,0.0736,0.0705,-0.0031,141,0.367,0.48,0.54,51,7.3,0.476
United States,USA,North America,High Income,2021,4,2021-Q4,Healthcare & Life Sciences,0.203,65061,0.883,0.031,0.0254,-0.0056,16,0.365,0.72,0.766,43,6.4,0.162
United States,USA,North America,High Income,2021,4,2021-Q4,Manufacturing & Industry,0.728,65061,0.858,0.1236,0.1126,-0.011,87,0.369,0.29,0.294,54,7.4,0.648
United States,USA,North America,High Income,2021,4,2021-Q4,Retail & E-Commerce,0.669,65061,0.854,0.0992,0.0954,-0.0038,80,0.353,0.54,0.611,50,6.4,0.569
United States,USA,North America,High Income,2021,4,2021-Q4,Education & Research,0.261,65061,0.868,0.0408,0.0329,-0.0079,15,0.375,0.58,0.614,44,7.1,0.253
United States,USA,North America,High Income,2021,4,2021-Q4,Transportation & Logistics,0.714,65061,0.887,0.1078,0.0682,-0.0396,60,0.41,0.22,0.233,51,7.7,0.703
United States,USA,North America,High Income,2021,4,2021-Q4,Media & Communications,0.502,65061,0.858,0.0897,0.0672,-0.0225,70,0.35,0.46,0.465,50,7.2,0.424
United States,USA,North America,High Income,2021,4,2021-Q4,Administrative & Clerical,0.77,65061,0.853,0.1557,0.1174,-0.0383,232,0.336,0.79,0.95,57,6.8,0.791
United States,USA,North America,High Income,2021,4,2021-Q4,Energy & Utilities,0.47,65061,0.842,0.0546,0.036,-0.0186,34,0.34,0.26,0.273,60,7.0,0.355
United States,USA,North America,High Income,2022,1,2022-Q1,Technology & Software,0.374,65482,0.857,0.0648,0.0395,-0.0253,77,0.369,0.28,0.281,57,6.9,0.358
United States,USA,North America,High Income,2022,1,2022-Q1,Finance & Banking,0.615,65482,0.863,0.0878,0.0723,-0.0155,150,0.327,0.48,0.504,66,7.3,0.545
United States,USA,North America,High Income,2022,1,2022-Q1,Healthcare & Life Sciences,0.21,65482,0.886,0.032,0.0244,-0.0076,12,0.341,0.72,0.745,60,6.7,0.193
United States,USA,North America,High Income,2022,1,2022-Q1,Manufacturing & Industry,0.752,65482,0.88,0.1333,0.109,-0.0243,142,0.379,0.29,0.322,63,6.6,0.708
United States,USA,North America,High Income,2022,1,2022-Q1,Retail & E-Commerce,0.669,65482,0.871,0.0924,0.0514,-0.041,105,0.321,0.54,0.612,65,6.9,0.504
United States,USA,North America,High Income,2022,1,2022-Q1,Education & Research,0.289,65482,0.853,0.037,0.031,-0.006,17,0.332,0.58,0.638,45,6.8,0.198
United States,USA,North America,High Income,2022,1,2022-Q1,Transportation & Logistics,0.724,65482,0.854,0.1158,0.0697,-0.0461,57,0.37,0.22,0.235,64,6.9,0.498
United States,USA,North America,High Income,2022,1,2022-Q1,Media & Communications,0.568,65482,0.86,0.0746,0.0395,-0.0351,80,0.385,0.46,0.497,64,7.1,0.444
United States,USA,North America,High Income,2022,1,2022-Q1,Administrative & Clerical,0.792,65482,0.855,0.135,0.0861,-0.0489,245,0.355,0.79,0.95,49,6.6,0.695
United States,USA,North America,High Income,2022,1,2022-Q1,Energy & Utilities,0.42,65482,0.836,0.0568,0.0548,-0.002,38,0.33,0.26,0.276,50,6.6,0.308
United States,USA,North America,High Income,2022,2,2022-Q2,Technology & Software,0.359,66188,0.848,0.0657,0.0581,-0.0076,76,0.377,0.28,0.3,52,6.4,0.351
United States,USA,North America,High Income,2022,2,2022-Q2,Finance & Banking,0.594,66188,0.862,0.1005,0.0936,-0.0069,143,0.331,0.48,0.499,51,6.3,0.44
United States,USA,North America,High Income,2022,2,2022-Q2,Healthcare & Life Sciences,0.201,66188,0.869,0.0291,0.017,-0.0121,14,0.429,0.72,0.76,66,7.5,0.173
United States,USA,North America,High Income,2022,2,2022-Q2,Manufacturing & Industry,0.78,66188,0.881,0.1447,0.1246,-0.0201,103,0.354,0.29,0.327,47,7.5,0.746
United States,USA,North America,High Income,2022,2,2022-Q2,Retail & E-Commerce,0.685,66188,0.869,0.1398,0.124,-0.0158,91,0.298,0.54,0.523,62,6.4,0.641
United States,USA,North America,High Income,2022,2,2022-Q2,Education & Research,0.253,66188,0.867,0.0452,0.0429,-0.0023,9,0.346,0.58,0.563,49,7.2,0.273
United States,USA,North America,High Income,2022,2,2022-Q2,Transportation & Logistics,0.674,66188,0.875,0.1248,0.1166,-0.0082,79,0.393,0.22,0.218,53,7.2,0.593
United States,USA,North America,High Income,2022,2,2022-Q2,Media & Communications,0.566,66188,0.895,0.0765,0.0558,-0.0207,81,0.424,0.46,0.517,61,6.3,0.424
United States,USA,North America,High Income,2022,2,2022-Q2,Administrative & Clerical,0.807,66188,0.87,0.1467,0.104,-0.0427,285,0.388,0.79,0.95,45,5.9,0.785
United States,USA,North America,High Income,2022,2,2022-Q2,Energy & Utilities,0.477,66188,0.889,0.0697,0.0673,-0.0024,34,0.413,0.26,0.259,53,7.4,0.393
United States,USA,North America,High Income,2022,3,2022-Q3,Technology & Software,0.394,66908,0.869,0.0618,0.0543,-0.0075,61,0.35,0.28,0.297,47,7.5,0.292
United States,USA,North America,High Income,2022,3,2022-Q3,Finance & Banking,0.618,66908,0.884,0.0949,0.0561,-0.0388,185,0.444,0.48,0.533,44,7.0,0.485
United States,USA,North America,High Income,2022,3,2022-Q3,Healthcare & Life Sciences,0.226,66908,0.887,0.0287,0.0153,-0.0134,18,0.425,0.72,0.735,49,6.9,0.214
United States,USA,North America,High Income,2022,3,2022-Q3,Manufacturing & Industry,0.738,66908,0.86,0.1295,0.1133,-0.0162,125,0.371,0.29,0.305,47,7.0,0.708
United States,USA,North America,High Income,2022,3,2022-Q3,Retail & E-Commerce,0.669,66908,0.889,0.1231,0.118,-0.0051,72,0.359,0.54,0.558,55,6.7,0.714
United States,USA,North America,High Income,2022,3,2022-Q3,Education & Research,0.328,66908,0.884,0.0443,0.0246,-0.0197,12,0.39,0.58,0.614,58,6.3,0.242
United States,USA,North America,High Income,2022,3,2022-Q3,Transportation & Logistics,0.666,66908,0.864,0.0952,0.08,-0.0152,127,0.392,0.22,0.241,59,6.8,0.576
United States,USA,North America,High Income,2022,3,2022-Q3,Media & Communications,0.558,66908,0.881,0.0899,0.064,-0.0259,51,0.411,0.46,0.496,54,6.7,0.567
United States,USA,North America,High Income,2022,3,2022-Q3,Administrative & Clerical,0.777,66908,0.9,0.1326,0.0754,-0.0572,275,0.412,0.79,0.95,62,6.4,0.663
United States,USA,North America,High Income,2022,3,2022-Q3,Energy & Utilities,0.439,66908,0.887,0.0757,0.0653,-0.0104,53,0.405,0.26,0.293,60,6.6,0.412
United States,USA,North America,High Income,2022,4,2022-Q4,Technology & Software,0.344,65608,0.879,0.0677,0.0613,-0.0064,74,0.366,0.28,0.297,61,7.1,0.397
United States,USA,North America,High Income,2022,4,2022-Q4,Finance & Banking,0.638,65608,0.891,0.1126,0.0604,-0.0522,201,0.349,0.48,0.485,63,7.1,0.502
United States,USA,North America,High Income,2022,4,2022-Q4,Healthcare & Life Sciences,0.226,65608,0.883,0.0421,0.0328,-0.0093,14,0.388,0.72,0.772,47,7.5,0.172
United States,USA,North America,High Income,2022,4,2022-Q4,Manufacturing & Industry,0.744,65608,0.874,0.1307,0.1111,-0.0196,163,0.396,0.29,0.284,57,7.1,0.677
United States,USA,North America,High Income,2022,4,2022-Q4,Retail & E-Commerce,0.704,65608,0.88,0.1369,0.1018,-0.0351,111,0.363,0.54,0.59,50,7.2,0.555
United States,USA,North America,High Income,2022,4,2022-Q4,Education & Research,0.283,65608,0.878,0.0466,0.0254,-0.0212,14,0.352,0.58,0.561,58,6.8,0.203
United States,USA,North America,High Income,2022,4,2022-Q4,Transportation & Logistics,0.68,65608,0.884,0.0966,0.0832,-0.0134,79,0.412,0.22,0.239,53,6.1,0.675
United States,USA,North America,High Income,2022,4,2022-Q4,Media & Communications,0.536,65608,0.906,0.0799,0.0426,-0.0373,110,0.417,0.46,0.489,63,6.3,0.482
United States,USA,North America,High Income,2022,4,2022-Q4,Administrative & Clerical,0.81,65608,0.886,0.1504,0.1332,-0.0172,264,0.39,0.79,0.95,63,7.5,0.628
United States,USA,North America,High Income,2022,4,2022-Q4,Energy & Utilities,0.449,65608,0.872,0.0694,0.0461,-0.0233,37,0.363,0.26,0.259,52,6.7,0.394
United States,USA,North America,High Income,2023,1,2023-Q1,Technology & Software,0.36,68829,0.877,0.0935,0.0834,-0.0101,69,0.454,0.28,0.28,52,6.5,0.354
United States,USA,North America,High Income,2023,1,2023-Q1,Finance & Banking,0.599,68829,0.898,0.1109,0.0959,-0.015,193,0.467,0.48,0.538,59,6.5,0.575
United States,USA,North America,High Income,2023,1,2023-Q1,Healthcare & Life Sciences,0.228,68829,0.9,0.0333,0.0185,-0.0148,16,0.389,0.72,0.729,56,7.5,0.183
United States,USA,North America,High Income,2023,1,2023-Q1,Manufacturing & Industry,0.739,68829,0.885,0.1638,0.0917,-0.0721,185,0.42,0.29,0.31,69,6.6,0.669
United States,USA,North America,High Income,2023,1,2023-Q1,Retail & E-Commerce,0.696,68829,0.895,0.1327,0.118,-0.0147,141,0.358,0.54,0.565,56,7.1,0.52
United States,USA,North America,High Income,2023,1,2023-Q1,Education & Research,0.279,68829,0.897,0.0503,0.0378,-0.0125,13,0.404,0.58,0.603,55,6.6,0.209
United States,USA,North America,High Income,2023,1,2023-Q1,Transportation & Logistics,0.684,68829,0.882,0.1199,0.0812,-0.0387,122,0.434,0.22,0.236,68,7.2,0.643
United States,USA,North America,High Income,2023,1,2023-Q1,Media & Communications,0.564,68829,0.885,0.1051,0.098,-0.0071,110,0.464,0.46,0.489,57,7.3,0.578
United States,USA,North America,High Income,2023,1,2023-Q1,Administrative & Clerical,0.763,68829,0.885,0.1738,0.1646,-0.0092,216,0.389,0.79,0.95,58,7.3,0.791
United States,USA,North America,High Income,2023,1,2023-Q1,Energy & Utilities,0.463,68829,0.887,0.0771,0.0629,-0.0142,43,0.372,0.26,0.267,57,7.2,0.471
United States,USA,North America,High Income,2023,2,2023-Q2,Technology & Software,0.376,67573,0.894,0.0727,0.0658,-0.0069,64,0.436,0.28,0.31,67,7.1,0.318
United States,USA,North America,High Income,2023,2,2023-Q2,Finance & Banking,0.629,67573,0.894,0.1089,0.0651,-0.0438,212,0.404,0.48,0.529,67,7.3,0.526
United States,USA,North America,High Income,2023,2,2023-Q2,Healthcare & Life Sciences,0.254,67573,0.889,0.0387,0.0253,-0.0134,21,0.398,0.72,0.76,59,6.8,0.193
United States,USA,North America,High Income,2023,2,2023-Q2,Manufacturing & Industry,0.731,67573,0.899,0.1792,0.1735,-0.0057,148,0.396,0.29,0.299,55,6.0,0.75
United States,USA,North America,High Income,2023,2,2023-Q2,Retail & E-Commerce,0.658,67573,0.895,0.1262,0.1027,-0.0235,172,0.404,0.54,0.531,62,7.5,0.564
United States,USA,North America,High Income,2023,2,2023-Q2,Education & Research,0.276,67573,0.894,0.0555,0.0328,-0.0227,17,0.396,0.58,0.582,72,6.7,0.196
United States,USA,North America,High Income,2023,2,2023-Q2,Transportation & Logistics,0.655,67573,0.906,0.1183,0.1151,-0.0032,110,0.434,0.22,0.247,49,7.3,0.688
United States,USA,North America,High Income,2023,2,2023-Q2,Media & Communications,0.55,67573,0.899,0.1177,0.0987,-0.019,64,0.44,0.46,0.479,66,7.2,0.446
United States,USA,North America,High Income,2023,2,2023-Q2,Administrative & Clerical,0.796,67573,0.901,0.1925,0.1468,-0.0457,188,0.389,0.79,0.95,56,7.4,0.795
United States,USA,North America,High Income,2023,2,2023-Q2,Energy & Utilities,0.467,67573,0.887,0.0917,0.0728,-0.0189,30,0.422,0.26,0.262,61,7.3,0.417
United States,USA,North America,High Income,2023,3,2023-Q3,Technology & Software,0.378,67009,0.882,0.0745,0.0718,-0.0027,63,0.439,0.28,0.294,61,7.5,0.32
United States,USA,North America,High Income,2023,3,2023-Q3,Finance & Banking,0.582,67009,0.88,0.139,0.0888,-0.0502,106,0.424,0.48,0.491,68,7.0,0.595
United States,USA,North America,High Income,2023,3,2023-Q3,Healthcare & Life Sciences,0.227,67009,0.896,0.0337,0.026,-0.0077,23,0.393,0.72,0.79,53,6.4,0.208
United States,USA,North America,High Income,2023,3,2023-Q3,Manufacturing & Industry,0.752,67009,0.899,0.1745,0.1276,-0.0469,134,0.411,0.29,0.29,50,7.9,0.669
United States,USA,North America,High Income,2023,3,2023-Q3,Retail & E-Commerce,0.677,67009,0.912,0.1331,0.115,-0.0181,107,0.421,0.54,0.592,57,7.3,0.535
United States,USA,North America,High Income,2023,3,2023-Q3,Education & Research,0.271,67009,0.88,0.0533,0.0494,-0.0039,17,0.462,0.58,0.609,72,6.1,0.239
United States,USA,North America,High Income,2023,3,2023-Q3,Transportation & Logistics,0.694,67009,0.903,0.1133,0.0902,-0.0231,162,0.376,0.22,0.224,62,7.6,0.567
United States,USA,North America,High Income,2023,3,2023-Q3,Media & Communications,0.55,67009,0.887,0.1141,0.078,-0.0361,60,0.399,0.46,0.472,70,7.4,0.582
United States,USA,North America,High Income,2023,3,2023-Q3,Administrative & Clerical,0.811,67009,0.902,0.1926,0.1326,-0.06,358,0.418,0.79,0.95,65,7.4,0.793
United States,USA,North America,High Income,2023,3,2023-Q3,Energy & Utilities,0.406,67009,0.902,0.0922,0.0636,-0.0286,47,0.424,0.26,0.278,62,6.6,0.385
United States,USA,North America,High Income,2023,4,2023-Q4,Technology & Software,0.38,69592,0.888,0.089,0.0727,-0.0163,82,0.401,0.28,0.305,51,6.6,0.346
United States,USA,North America,High Income,2023,4,2023-Q4,Finance & Banking,0.637,69592,0.901,0.1206,0.1174,-0.0032,154,0.444,0.48,0.503,71,7.6,0.539
United States,USA,North America,High Income,2023,4,2023-Q4,Healthcare & Life Sciences,0.23,69592,0.912,0.0362,0.0301,-0.0061,26,0.405,0.72,0.738,56,7.5,0.232
United States,USA,North America,High Income,2023,4,2023-Q4,Manufacturing & Industry,0.75,69592,0.912,0.1928,0.1565,-0.0363,212,0.386,0.29,0.286,61,7.1,0.753
United States,USA,North America,High Income,2023,4,2023-Q4,Retail & E-Commerce,0.764,69592,0.916,0.1451,0.1287,-0.0164,156,0.431,0.54,0.529,63,6.5,0.687
United States,USA,North America,High Income,2023,4,2023-Q4,Education & Research,0.253,69592,0.881,0.0567,0.0316,-0.0251,27,0.408,0.58,0.604,64,6.9,0.274
United States,USA,North America,High Income,2023,4,2023-Q4,Transportation & Logistics,0.688,69592,0.904,0.1229,0.118,-0.0049,128,0.38,0.22,0.215,71,7.2,0.532
United States,USA,North America,High Income,2023,4,2023-Q4,Media & Communications,0.531,69592,0.893,0.1035,0.0982,-0.0053,131,0.462,0.46,0.464,69,6.7,0.418
United States,USA,North America,High Income,2023,4,2023-Q4,Administrative & Clerical,0.763,69592,0.896,0.1875,0.1127,-0.0748,407,0.455,0.79,0.95,52,6.9,0.805
United States,USA,North America,High Income,2023,4,2023-Q4,Energy & Utilities,0.429,69592,0.881,0.0679,0.037,-0.0309,60,0.394,0.26,0.28,63,7.1,0.418
